Aldaya(ES),Andros(FR),Bailleul(FR),Benesov(CZ),Bierun(PL),Eurodesserts(BE),Ferrières(FR),Issenheim(FR),Krasny(PL),LeMolay(FR),Mlc(FR),Ochsenfurt(ALL),Parets(ES),Rosenheim(ALL),Rotselaar(BE),Roumanie(RO),StJust(FR),Villecomtal(FR),Wevelgem(BE),0024 FR AIX (DC),0024 FR CHAPONNAY (DC),0024 FR LILPARK (DC),0024 FR METZ (DC),0024 FR PARIS NORD (DC),0024 FR PARIS SUD (DC),0024 FR TOULOUSE (DC),0024 FR TOURS (DC),0024 FR VALLET (DC),FLAG_CF,TRANSFORMABLE,INNO,IMPLUSE,Import_type,PREVISION_NATIONAL,COMMANDE_NATIONAL,ALLOUE_NATIONAL,LIVRE_NATIONAL,ECART_ALLOC_NATIONAL,RUPTURE_NATIONAL,RUPTURE_STKA_NATIONAL,NO_FORECAST_NAT,ECART_PREVISION_NAT,ECART_PREVISION_NAT_PERCENT,PREVISION,COMMANDE,ALLOUE,LIVRE,ECART_ALLOC,RUPTURE,RUPTURE_STKA,NO_FORECAST,ECART_PREVISON,ECART_PREVISION_PERCENT,CSL_ALLOC,CSL,PERTE_CSL_vs_ALLOC,CSL_ALLOC_NATIONAL,CSL_NATIONAL,PERTE_CSL_vs_ALLOC_NATIONAL,Cause_Pareto
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,790.0,605.0,583.0,373.0,210.0,232.0,22.0,0.0,-185.0,23.417721518987346,62.0,28.0,6.0,0.0,6.0,28.0,22.0,0.0,-34.0,54.838709677419345,21.428571428571427,0.0,21.428571428571427,96.36363636363636,61.65289256198348,34.71074380165288,A Creuser
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,790.0,605.0,583.0,373.0,210.0,232.0,22.0,0.0,-185.0,23.417721518987346,123.0,91.0,91.0,16.0,75.0,75.0,0.0,0.0,-32.0,26.016260162601622,100.0,17.582417582417587,82.41758241758242,96.36363636363636,61.65289256198348,34.71074380165288,A Creuser
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,790.0,605.0,583.0,373.0,210.0,232.0,22.0,0.0,-185.0,23.417721518987346,30.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,-11.0,36.66666666666666,100.0,100.0,0.0,96.36363636363636,61.65289256198348,34.71074380165288,A Creuser
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,790.0,605.0,583.0,373.0,210.0,232.0,22.0,0.0,-185.0,23.417721518987346,94.0,66.0,66.0,52.0,14.0,14.0,0.0,0.0,-28.0,29.78723404255319,100.0,78.78787878787878,21.21212121212121,96.36363636363636,61.65289256198348,34.71074380165288,A Creuser
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,790.0,605.0,583.0,373.0,210.0,232.0,22.0,0.0,-185.0,23.417721518987346,92.0,82.0,82.0,60.0,22.0,22.0,0.0,0.0,-10.0,10.869565217391305,100.0,73.17073170731706,26.82926829268293,96.36363636363636,61.65289256198348,34.71074380165288,A Creuser
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,790.0,605.0,583.0,373.0,210.0,232.0,22.0,0.0,-185.0,23.417721518987346,183.0,138.0,138.0,56.0,82.0,82.0,0.0,0.0,-45.0,24.590163934426236,100.0,40.57971014492754,59.42028985507246,96.36363636363636,61.65289256198348,34.71074380165288,A Creuser
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,633.0,653.0,653.0,394.0,259.0,259.0,0.0,0.0,20.0,-3.1595576619273302,62.0,69.0,69.0,61.0,8.0,8.0,0.0,0.0,7.0,-11.290322580645164,100.0,88.40579710144928,11.594202898550721,100.0,60.33690658499234,39.66309341500766,A Creuser
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,633.0,653.0,653.0,394.0,259.0,259.0,0.0,0.0,20.0,-3.1595576619273302,74.0,96.0,96.0,96.0,0.0,0.0,0.0,0.0,22.0,-29.72972972972973,100.0,100.0,0.0,100.0,60.33690658499234,39.66309341500766,A Creuser
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,633.0,653.0,653.0,394.0,259.0,259.0,0.0,0.0,20.0,-3.1595576619273302,102.0,109.0,109.0,17.0,92.0,92.0,0.0,0.0,7.0,-6.8627450980392135,100.0,15.59633027522936,84.40366972477064,100.0,60.33690658499234,39.66309341500766,A Creuser
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,633.0,653.0,653.0,394.0,259.0,259.0,0.0,0.0,20.0,-3.1595576619273302,48.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,-5.0,10.416666666666666,100.0,100.0,0.0,100.0,60.33690658499234,39.66309341500766,A Creuser
